DATE,GAC,NOC,SHC,UOC,DTC,IVC,PPC,PRC,NEC,AWC,GAF,NOF,SHF,UOF,DTF,IVF,PPF,PRF,NEF,AWF,CEF
May-68,32.2,30.6,32.5,6.0,3.2,6.8,42.8,17.3,10.1,2.7,20.0,19.8,30.9,-1.5,-2.8,-14.9,74.3,41.3,18.7,2.9,22.7
Jun-68,18.4,18.2,11.9,-2.9,-4.4,10.6,35.0,15.8,12.2,4.1,28.5,30.6,43.0,12.8,-5.0,3.0,80.5,53.6,15.6,-4.1,25.3
Jul-68,33.3,15.7,23.8,1.2,-1.3,0.9,35.0,16.1,12.9,4.6,41.0,43.8,30.2,24.5,1.6,-0.4,70.5,46.0,22.7,-0.4,25.3
Aug-68,-3.9,-7.6,15.3,-6.6,-2.6,-24.6,43.3,23.0,13.3,6.3,17.4,36.6,29.9,8.3,0.2,0.9,64.7,40.2,21.5,5.0,18.5
Sep-68,9.5,20.7,21.6,-6.4,-5.4,1.4,28.5,12.7,1.9,4.0,21.4,20.8,36.6,-4.1,3.7,4.6,65.0,41.2,24.8,12.2,16.0
Oct-68,6.8,24.3,19.7,12.8,-4.9,-9.2,34.5,22.0,10.1,0.2,40.2,39.8,34.8,15.1,-2.0,3.6,64.6,38.0,21.4,4.2,22.9
Nov-68,13.2,29.2,27.3,-2.2,-2.9,17.8,31.8,20.1,11.1,9.3,50.3,38.4,34.9,12.9,-11.8,14.6,68.6,45.4,26.5,1.7,34.0
Dec-68,23.5,22.7,33.3,-1.8,1.1,20.5,34.9,15.3,14.3,6.1,53.4,40.8,38.7,16.9,0.3,23.6,85.8,60.4,24.7,3.3,25.8
Jan-69,-11.3,4.2,8.7,-0.8,3.6,12.9,31.2,17.3,13.4,0.3,43.0,36.7,38.7,12.5,4.1,8.5,70.1,42.5,28.2,10.7,24.1
Feb-69,16.8,12.5,9.6,-6.3,4.8,20.7,33.0,25.3,16.9,11.2,28.2,32.7,36.2,15.3,12.2,-2.2,62.3,46.1,30.5,14.0,35.2
Mar-69,27.8,34.2,22.7,5.9,6.5,17.8,34.9,22.2,15.0,9.8,35.7,42.6,59.6,14.5,5.3,-7.4,64.0,39.2,30.6,11.4,22.8
Apr-69,18.1,22.5,27.6,7.8,1.1,18.5,39.5,22.8,10.7,-6.9,33.7,25.9,32.1,16.2,1.0,-1.8,64.6,34.7,7.6,-4.6,25.9
May-69,12.7,19.6,24.0,-2.0,-1.4,7.5,27.4,21.3,10.2,8.8,-3.5,16.2,14.3,3.2,0.4,4.9,60.7,38.4,-2.8,0.6,19.2
Jun-69,18.5,21.2,24.3,4.4,2.3,-0.2,23.3,14.9,13.2,5.5,-3.4,12.7,9.3,-6.5,-14.0,-20.6,58.2,34.4,7.4,-3.6,19.7
Jul-69,-1.1,2.3,17.3,-5.4,-2.5,5.4,37.6,13.6,13.1,-1.7,-12.9,16.8,23.0,-0.9,-9.7,5.8,56.5,36.4,14.3,2.2,18.3
